"subject_id" "activity" "xyz" "mean(value)"
4 "standing" "Z" -0.342442143571964
4 "walking" "X" 0.00185342549547917
4 "walking" "Y" -0.165898626028229
4 "walking" "Z" -0.240041724542917
4 "walking_downstairs" "X" 0.0819681672805556
4 "walking_downstairs" "Y" -0.148948709859444
4 "walking_downstairs" "Z" -0.169035136421944
4 "walking_upstairs" "X" 0.0121608425673077
4 "walking_upstairs" "Y" -0.183218179549168
4 "walking_upstairs" "Z" -0.197506468080529
5 "laying" "X" -0.396444530418774
5 "laying" "Y" -0.260656580363221
5 "laying" "Z" -0.335216395956779
5 "sitting" "X" -0.226552497255966
5 "sitting" "Y" -0.350549291962216
5 "sitting" "Z" -0.347761793539136
5 "standing" "X" -0.205808256935201
5 "standing" "Y" -0.362546578996496
5 "standing" "Z" -0.341206850154442
5 "walking" "X" 0.0239896500945536
5 "walking" "Y" -0.116695137536926
5 "walking" "Z" -0.170722683943147
5 "walking_downstairs" "X" 0.118460749307181
5 "walking_downstairs" "Y" -0.0696457054956117
5 "walking_downstairs" "Z" -0.114688391431949
5 "walking_upstairs" "X" 0.0583111465409574
5 "walking_upstairs" "Y" -0.137272286220931
5 "walking_upstairs" "Z" -0.171412592063457
6 "laying" "X" -0.386569926389254
6 "laying" "Y" -0.250744361908333
6 "laying" "Z" -0.333968309303947
6 "sitting" "X" -0.216378791240545
6 "sitting" "Y" -0.361103164846318
6 "sitting" "Z" -0.352530889001841
6 "standing" "X" -0.214397805605921
6 "standing" "Y" -0.395817013268531
6 "standing" "Z" -0.365852686072807
6 "walking" "X" 0.0774697789618421
6 "walking" "Y" -0.0793402032766886
6 "walking" "Z" -0.162264585369079
6 "walking_downstairs" "X" 0.21447052408724
6 "walking_downstairs" "Y" 0.00149407894325521
6 "walking_downstairs" "Z" -0.0597098789511719
6 "walking_upstairs" "X" 0.0776340079935539
6 "walking_upstairs" "Y" -0.102096538936838
6 "walking_upstairs" "Z" -0.144644378736618
7 "laying" "X" -0.394002457192332
7 "laying" "Y" -0.330465712909135
7 "laying" "Z" -0.250412585987188
7 "sitting" "X" -0.215143152729219
7 "sitting" "Y" -0.365960616529401
7 "sitting" "Z" -0.360176036875443
7 "standing" "X" -0.211724375891486
7 "standing" "Y" -0.388818129141132
7 "standing" "Z" -0.374457119050448
7 "walking" "X" 0.0164725678891097
7 "walking" "Y" -0.0783902959068421
7 "walking" "Z" -0.0891125786026075
7 "walking_downstairs" "X" 0.102150632489096
7 "walking_downstairs" "Y" -0.116187600095213
7 "walking_downstairs" "Z" -0.12065955551859
7 "walking_upstairs" "X" -0.0324075461176471
7 "walking_upstairs" "Y" -0.225825902701789
7 "walking_upstairs" "Z" -0.223506801162255
8 "laying" "X" -0.380310938162731
8 "laying" "Y" -0.302649002210926
8 "laying" "Z" -0.275550200377917
8 "sitting" "X" -0.239594810861413
8 "sitting" "Y" -0.351251570719804
8 "sitting" "Z" -0.341055670321522
8 "standing" "X" -0.219248312343287
8 "standing" "Y" -0.384059404013264
8 "standing" "Z" -0.386293060970532
8 "walking" "X" 0.0606979527175
8 "walking" "Y" -0.0290185561384635
8 "walking" "Z" -0.128574548502518
8 "walking_downstairs" "X" 0.172627357308553
8 "walking_downstairs" "Y" 0.0468543580630921
8 "walking_downstairs" "Z" -0.00194361357256579
8 "walking_upstairs" "X" 0.0788675346668293
8 "walking_upstairs" "Y" -0.0516391687594512
8 "walking_upstairs" "Z" -0.0992978030192073
9 "laying" "X" -0.396909904491
9 "laying" "Y" -0.39345044074025
9 "laying" "Z" -0.24675595241455
9 "sitting" "X" -0.219140555333
9 "sitting" "Y" -0.369512422450475
9 "sitting" "Z" -0.336282439885775
9 "standing" "X" -0.208174371707139
9 "standing" "Y" -0.372759685027639
9 "standing" "Z" -0.345994449406361
9 "walking" "X" 0.0182995616882212
9 "walking" "Y" -0.148597008186993
9 "walking" "Z" -0.10263789882875
9 "walking_downstairs" "X" 0.11148186745506
9 "walking_downstairs" "Y" -0.127076612309991
9 "walking_downstairs" "Z" -0.0723101654498214
9 "walking_upstairs" "X" -0.00710595070979592
9 "walking_upstairs" "Y" -0.205032237437809
9 "walking_upstairs" "Z" -0.132127705184541
10 "laying" "X" -0.390110135002371
10 "laying" "Y" -0.392607072907134
10 "laying" "Z" -0.30798556814
10 "sitting" "X" -0.244643467083333
10 "sitting" "Y" -0.383004748489144
10 "sitting" "Z" -0.350894565849769
10 "standing" "X" -0.209871579249034
10 "standing" "Y" -0.374691566953608
10 "standing" "Z" -0.361089289359517
10 "walking" "X" 0.0894244564996226
10 "walking" "Y" -0.0614443478559033
10 "walking" "Z" -0.127201898552005
10 "walking_downstairs" "X" 0.165585816506875
10 "walking_downstairs" "Y" -0.0765590512736842
10 "walking_downstairs" "Z" -0.0532879295476974
10 "walking_upstairs" "X" 0.0776060198952128
10 "walking_upstairs" "Y" -0.0823520766538564
10 "walking_upstairs" "Z" -0.151306594167758
11 "laying" "X" -0.355490015492939
11 "laying" "Y" -0.259143539406601
11 "laying" "Z" -0.352830286729868
11 "sitting" "X" -0.232191148971698
11 "sitting" "Y" -0.350102661594245
11 "sitting" "Z" -0.349846738988184
11 "standing" "X" -0.222892356981383
11 "standing" "Y" -0.404503750021037
11 "standing" "Z" -0.363817764821569
11 "walking" "X" -0.0247255437891949
11 "walking" "Y" -0.156976240814492
11 "walking" "Z" -0.20532391640552
11 "walking_downstairs" "X" 0.0964827854978261
11 "walking_downstairs" "Y" -0.11902400983019
11 "walking_downstairs" "Z" -0.145288641953533
11 "walking_upstairs" "X" -0.0270520480646528
11 "walking_upstairs" "Y" -0.225870233004583
11 "walking_upstairs" "Z" -0.24367280478662
12 "laying" "X" -0.376377550128958
12 "laying" "Y" -0.274758720406417
12 "laying" "Z" -0.307446576646942
12 "sitting" "X" -0.222932414669118
12 "sitting" "Y" -0.363351823964681
12 "sitting" "Z" -0.355434658843775
12 "standing" "X" -0.20714850857541
12 "standing" "Y" -0.396374672237541
12 "standing" "Z" -0.363586317124344
12 "walking" "X" 0.073132576577025
12 "walking" "Y" -0.114576532309325
12 "walking" "Z" -0.154975601045525
12 "walking_downstairs" "X" 0.124021085840516
12 "walking_downstairs" "Y" -0.0720117688359415
12 "walking_downstairs" "Z" -0.136360207014402
12 "walking_upstairs" "X" 0.00148357312019231
12 "walking_upstairs" "Y" -0.184149897213942
12 "walking_upstairs" "Z" -0.205902859609856
13 "laying" "X" -0.355538766389492
13 "laying" "Y" -0.299875426825806
13 "laying" "Z" -0.297350658136996
13 "sitting" "X" -0.227784078458929
13 "sitting" "Y" -0.370322564737543
13 "sitting" "Z" -0.357509465486811
13 "standing" "X" -0.220766342711096
13 "standing" "Y" -0.409476656155263
13 "standing" "Z" -0.361479386678533
13 "walking" "X" 0.0419087303472149
13 "walking" "Y" -0.0769488975114474
13 "walking" "Z" -0.0994943686402632
13 "walking_downstairs" "X" 0.0804883222823537
13 "walking_downstairs" "Y" -0.0877753647197074
13 "walking_downstairs" "Z" -0.0736040788327128
13 "walking_upstairs" "X" -0.0500598624675
13 "walking_upstairs" "Y" -0.169092263910705
13 "walking_upstairs" "Z" -0.147752446153273
14 "laying" "X" -0.346296020027647
14 "laying" "Y" -0.320343635573257
14 "laying" "Z" -0.254463295788799
14 "sitting" "X" -0.222448118201389
14 "sitting" "Y" -0.379466216758005
14 "sitting" "Z" -0.379828962841944
14 "standing" "X" -0.22514269042175
14 "standing" "Y" -0.399648661552937
14 "standing" "Z" -0.410149591969419
14 "walking" "X" -0.0461957368870699
14 "walking" "Y" -0.145263246250636
14 "walking" "Z" -0.162878878306356
14 "walking_downstairs" "X" 0.0901762416308333
14 "walking_downstairs" "Y" 0.0157178831681667
14 "walking_downstairs" "Z" 0.0308892858745833
14 "walking_upstairs" "X" -0.0204911195888889
14 "walking_upstairs" "Y" -0.0897789832555093
14 "walking_upstairs" "Z" -0.0671749840185185
15 "laying" "X" -0.354452804102604
15 "laying" "Y" -0.263268987200538
15 "laying" "Z" -0.374175262044861
15 "sitting" "X" -0.231525923853814
15 "sitting" "Y" -0.353261355073708
15 "sitting" "Z" -0.373162704544479
15 "standing" "X" -0.216298518285259
15 "standing" "Y" -0.396634265528545
15 "standing" "Z" -0.367544374990896
15 "walking" "X" 0.0275475931678704
15 "walking" "Y" -0.106203577710417
15 "walking" "Z" -0.207923506847919
15 "walking_downstairs" "X" 0.14608673940625
15 "walking_downstairs" "Y" -0.0629981452036012
15 "walking_downstairs" "Z" -0.0990992686927976
15 "walking_upstairs" "X" 0.0668462604927083
15 "walking_upstairs" "Y" -0.187026639752865
15 "walking_upstairs" "Z" -0.220804253197057
16 "laying" "X" -0.364651288355357
16 "laying" "Y" -0.387023360565643
16 "laying" "Z" -0.265263485821134
16 "sitting" "X" -0.224612771126268
16 "sitting" "Y" -0.387434493129366
16 "sitting" "Z" -0.361428408613877
16 "standing" "X" -0.223116960085737
16 "standing" "Y" -0.388613687218111
16 "standing" "Z" -0.397823528393542
16 "walking" "X" -0.0348756717687255
16 "walking" "Y" -0.198256945888505
16 "walking" "Z" -0.174195194766176
16 "walking_downstairs" "X" 0.0797858769416223
16 "walking_downstairs" "Y" -0.140098403319947
16 "walking_downstairs" "Z" -0.127114139341463
16 "walking_upstairs" "X" -0.0579283683318873
16 "walking_upstairs" "Y" -0.191813381837279
16 "walking_upstairs" "Z" -0.237723926523529
17 "laying" "X" -0.363093750107225
17 "laying" "Y" -0.298396147456849
17 "laying" "Z" -0.281936942159613
17 "sitting" "X" -0.227051021585938
17 "sitting" "Y" -0.38330607978293
17 "sitting" "Z" -0.395169270392031
17 "standing" "X" -0.229411542468942
17 "standing" "Y" -0.416702291384968
17 "standing" "Z" -0.405060378965577
17 "walking" "X" -0.00419541117233607
17 "walking" "Y" -0.13209166324373
17 "walking" "Z" -0.194552408098771
17 "walking_downstairs" "X" 0.0933575750914946
17 "walking_downstairs" "Y" -0.159193854605136
17 "walking_downstairs" "Z" -0.190212419496603
17 "walking_upstairs" "X" 0.0117014789091146
17 "walking_upstairs" "Y" -0.173560621239578
17 "walking_upstairs" "Z" -0.216917069557344
18 "laying" "X" -0.369977955577308
18 "laying" "Y" -0.295678199982308
18 "laying" "Z" -0.303959440736019
18 "sitting" "X" -0.230012472510965
18 "sitting" "Y" -0.36665160818046
18 "sitting" "Z" -0.356053466904225
18 "standing" "X" -0.221037818793664
18 "standing" "Y" -0.405537392474409
18 "standing" "Z" -0.360918050184144
18 "walking" "X" -0.0322529763981027
18 "walking" "Y" -0.190625965150469
18 "walking" "Z" -0.189714096631429
18 "walking_downstairs" "X" -0.0114671906993182
18 "walking_downstairs" "Y" -0.221815777720477
18 "walking_downstairs" "Z" -0.187100545225909
18 "walking_upstairs" "X" -0.069240449255
18 "walking_upstairs" "Y" -0.251992435463573
18 "walking_upstairs" "Z" -0.206665848979741
19 "laying" "X" -0.423646903853681
19 "laying" "Y" -0.291561881254172
19 "laying" "Z" -0.289929575365952
19 "sitting" "X" -0.267447751022774
19 "sitting" "Y" -0.330654358031747
19 "sitting" "Z" -0.312322929661325
19 "standing" "X" -0.218345564070685
19 "standing" "Y" -0.404098694608442
19 "standing" "Z" -0.359442284441608
19 "walking" "X" 0.176555603851899
19 "walking" "Y" -0.0314173033464387
19 "walking" "Z" -0.0587658613154327
19 "walking_downstairs" "X" 0.308061910121795
19 "walking_downstairs" "Y" 0.0797459766863109
19 "walking_downstairs" "Z" 0.0276168363362244
19 "walking_upstairs" "X" 0.0668826804711875
19 "walking_upstairs" "Y" -0.0896694969378125
19 "walking_upstairs" "Z" -0.132551744552812
20 "laying" "X" -0.395907355341728
20 "laying" "Y" -0.274831550323235
20 "laying" "Z" -0.312333752787256
20 "sitting" "X" -0.22357577017803
20 "sitting" "Y" -0.365276115161496
20 "sitting" "Z" -0.34790569754233
20 "standing" "X" -0.207897625950154
20 "standing" "Y" -0.396240279906147
20 "standing" "Z" -0.349905343944514
20 "walking" "X" 0.0981902425242647
20 "walking" "Y" 0.0100232510070833
20 "walking" "Z" -0.0919942267301471
20 "walking_downstairs" "X" 0.104013426702419
20 "walking_downstairs" "Y" 0.0331734397107778
20 "walking_downstairs" "Z" -0.0329691236817778
20 "walking_upstairs" "X" 0.0328690982147304
20 "walking_upstairs" "Y" -0.149879892475343
20 "walking_upstairs" "Z" -0.0824048837607108
21 "laying" "X" -0.359220853552639
21 "laying" "Y" -0.306492615257181
21 "laying" "Z" -0.276896446954611
21 "sitting" "X" -0.224120883525303
21 "sitting" "Y" -0.376538337817092
21 "sitting" "Z" -0.383706453031074
21 "standing" "X" -0.225109209594944
21 "standing" "Y" -0.417665510982662
21 "standing" "Z" -0.39790583496184
21 "walking" "X" 0.0458161058305769
21 "walking" "Y" -0.118481290016683
21 "walking" "Z" -0.161058493951442
21 "walking_downstairs" "X" 0.0956300763694444
21 "walking_downstairs" "Y" -0.0859776919978056
21 "walking_downstairs" "Z" -0.09260736305
21 "walking_upstairs" "X" -0.0167899690981383
21 "walking_upstairs" "Y" -0.158760527455718
21 "walking_upstairs" "Z" -0.185107539050532
22 "laying" "X" -0.382630686652951
22 "laying" "Y" -0.29405222898967
22 "laying" "Z" -0.26706853751875
22 "sitting" "X" -0.234718813300806
22 "sitting" "Y" -0.348521954647278
22 "sitting" "Z" -0.330571366240202
22 "standing" "X" -0.21112903720119
22 "standing" "Y" -0.399329790277262
22 "standing" "Z" -0.369227012642917
22 "walking" "X" 0.108086517471223
22 "walking" "Y" -0.0705980719097908
22 "walking" "Z" -0.0849304135831522
22 "walking_downstairs" "X" 0.159747320613889
22 "walking_downstairs" "Y" -0.0785583655693437
22 "walking_downstairs" "Z" -0.123773478591181
22 "walking_upstairs" "X" 0.115373781114732
22 "walking_upstairs" "Y" -0.126876335747202
22 "walking_upstairs" "Z" -0.14255859449119
23 "laying" "X" -0.385453883099965
23 "laying" "Y" -0.33111743305974
23 "laying" "Z" -0.260880800373958
23 "sitting" "X" -0.225645544618934
23 "sitting" "Y" -0.360364752968502
23 "sitting" "Z" -0.363298846409798
23 "standing" "X" -0.221566458501673
23 "standing" "Y" -0.390282026256949
23 "standing" "Z" -0.399421862397798
23 "walking" "X" 0.0359238905853602
23 "walking" "Y" -0.0391592383491525
23 "walking" "Z" -0.0536773320672246
23 "walking_downstairs" "X" 0.161012680275231
23 "walking_downstairs" "Y" 0.0178716828761806
23 "walking_downstairs" "Z" 0.0136994761203704
23 "walking_upstairs" "X" 0.0103990597735294
23 "walking_upstairs" "Y" -0.133062472897819
23 "walking_upstairs" "Z" -0.146517659599265
24 "laying" "X" -0.382571549555556
24 "laying" "Y" -0.291226500242552
24 "laying" "Z" -0.289905884718628
24 "sitting" "X" -0.228177439280699
24 "sitting" "Y" -0.358116957186347
24 "sitting" "Z" -0.359938394068879
24 "standing" "X" -0.21619155987663
24 "standing" "Y" -0.393530204869217
24 "standing" "Z" -0.365292212182591
24 "walking" "X" -0.0346888890883621
24 "walking" "Y" -0.159691624125431
24 "walking" "Z" -0.145496267575216
24 "walking_downstairs" "X" 0.0338357382172727
24 "walking_downstairs" "Y" -0.122032791076909
24 "walking_downstairs" "Z" -0.0903135784632954
24 "walking_upstairs" "X" -0.0263283383962288
24 "walking_upstairs" "Y" -0.217760466200551
24 "walking_upstairs" "Z" -0.136716108807013
25 "laying" "X" -0.376605911879623
25 "laying" "Y" -0.270261629614075
25 "laying" "Z" -0.278516748420205
25 "sitting" "X" -0.235391997781865
25 "sitting" "Y" -0.355186982105769
25 "sitting" "Z" -0.355137683578192
25 "standing" "X" -0.223600323941047
25 "standing" "Y" -0.398944911949578
25 "standing" "Z" -0.351521080719022
25 "walking" "X" -0.0594879834740203
25 "walking" "Y" -0.203689220062669
25 "walking" "Z" -0.205290957834409
25 "walking_downstairs" "X" 0.0113523054323707
25 "walking_downstairs" "Y" -0.187577274163534
25 "walking_downstairs" "Z" -0.189889572636875
25 "walking_upstairs" "X" -0.0571473960392308
25 "walking_upstairs" "Y" -0.251566949513288
25 "walking_upstairs" "Z" -0.236932641630404
26 "laying" "X" -0.416415065081086
26 "laying" "Y" -0.285953858408388
26 "laying" "Z" -0.294718283999974
26 "sitting" "X" -0.247514119142147
26 "sitting" "Y" -0.352922581885208
26 "sitting" "Z" -0.336805527614115
26 "standing" "X" -0.219361182006588
26 "standing" "Y" -0.397674761520845
26 "standing" "Z" -0.36648005287228
26 "walking" "X" 0.0185113796400424
26 "walking" "Y" -0.158317928430085
26 "walking" "Z" -0.128402268504597
26 "walking_downstairs" "X" 0.1153834687603
26 "walking_downstairs" "Y" -0.106527960788947
26 "walking_downstairs" "Z" -0.099300659012125
26 "walking_upstairs" "X" 0.0241186497225
26 "walking_upstairs" "Y" -0.199826432261773
26 "walking_upstairs" "Z" -0.200625423369773
27 "laying" "X" -0.406841955493547
27 "laying" "Y" -0.315553724681047
27 "laying" "Z" -0.270390758021402
27 "sitting" "X" -0.238470796333929
27 "sitting" "Y" -0.357590304776714
27 "sitting" "Z" -0.342604010330839
27 "standing" "X" -0.219205869727188
27 "standing" "Y" -0.402883217765314
27 "standing" "Z" -0.379328672039541
27 "walking" "X" -0.00329572306573903
27 "walking" "Y" -0.144130000233256
27 "walking" "Z" -0.152464328216228
27 "walking_downstairs" "X" 0.106714447197642
27 "walking_downstairs" "Y" -0.110100603694886
27 "walking_downstairs" "Z" -0.112784582533239
27 "walking_upstairs" "X" -0.0557037451127451
27 "walking_upstairs" "Y" -0.199805270946201
27 "walking_upstairs" "Z" -0.220269611993627
28 "laying" "X" -0.394871481109063
28 "laying" "Y" -0.362768247324766
28 "laying" "Z" -0.367372660251853
28 "sitting" "X" -0.224819435180903
28 "sitting" "Y" -0.387127755503177
28 "sitting" "Z" -0.353260033900226
28 "standing" "X" -0.205926638205016
28 "standing" "Y" -0.39370535426769
28 "standing" "Z" -0.36747778873731
28 "walking" "X" 0.0126318260631944
28 "walking" "Y" -0.152288435719838
28 "walking" "Z" -0.161333403792361
28 "walking_downstairs" "X" 0.148082622020924
28 "walking_downstairs" "Y" -0.0421091126122799
28 "walking_downstairs" "Z" -0.128207887750598
28 "walking_upstairs" "X" -0.00141726536397059
28 "walking_upstairs" "Y" -0.179695613817623
28 "walking_upstairs" "Z" -0.207316078448529
29 "laying" "X" -0.385609275630072
29 "laying" "Y" -0.285619712336159
29 "laying" "Z" -0.301788263541576
29 "sitting" "X" -0.232867070091458
29 "sitting" "Y" -0.364298682515833
29 "sitting" "Z" -0.343495777711625
29 "standing" "X" -0.220243131529808
29 "standing" "Y" -0.390622724179385
29 "standing" "Z" -0.375592269989613
29 "walking" "X" 0.0533905263102594
29 "walking" "Y" -0.092048806062783
29 "walking" "Z" -0.128384947120519
29 "walking_downstairs" "X" 0.134562746999805
29 "walking_downstairs" "Y" -0.103101097828776
29 "walking_downstairs" "Z" -0.106383147938281
29 "walking_upstairs" "X" 0.0835520682873469
29 "walking_upstairs" "Y" -0.182516343774745
29 "walking_upstairs" "Z" -0.17421775532125
30 "laying" "X" -0.380126215260714
30 "laying" "Y" -0.286312031489982
30 "laying" "Z" -0.287728920433393
30 "sitting" "X" -0.240264571516331
30 "sitting" "Y" -0.364417031891911
30 "sitting" "Z" -0.33119759495506
30 "standing" "X" -0.207754190021822
30 "standing" "Y" -0.379821925619047
30 "standing" "Z" -0.361637891085176
30 "walking" "X" 0.00771499203807692
30 "walking" "Y" -0.118649889923192
30 "walking" "Z" -0.136816181078904
30 "walking_downstairs" "X" 0.0735597652213508
30 "walking_downstairs" "Y" -0.10817793502756
30 "walking_downstairs" "Z" -0.121157460605544
30 "walking_upstairs" "X" -0.0387330936028846
30 "walking_upstairs" "Y" -0.200553659839827
30 "walking_upstairs" "Z" -0.188736695066658
